,name,qid,measure,value
0,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",156493,ndcg_cut_30,0.5345286251341462
1,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",1110199,ndcg_cut_30,0.0
2,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",1063750,ndcg_cut_30,0.0
3,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",130510,ndcg_cut_30,0.19696905971814108
4,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",489204,ndcg_cut_30,0.06526574510711813
5,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",573724,ndcg_cut_30,0.1333224987850841
6,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",168216,ndcg_cut_30,0.7131425881638634
7,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",1133167,ndcg_cut_30,0.20917484267832848
8,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",527433,ndcg_cut_30,0.04623672714536902
9,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",1037798,ndcg_cut_30,0.0
10,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",915593,ndcg_cut_30,0.18018237957746094
11,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(BR(TF_IDF), BR(PL2))), <pyterrier.ltr.RegressionTransformer object at 0x16a807730>)",264014,ndcg_cut_30,0.1920980424458619
